DATE,PX_LAST,PX_OPEN,PX_LOW,PX_MID,PX_HIGH,PX_CLOSE_1D,CHG_NET_1D,CHG_PCT_1D,CHG_PCT_5D,PX_VOLUME,VWAP_VOLUME,TURNOVER,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_50D,MOV_AVG_100D,MOV_AVG_200D,RSI_14D,RSI_30D,VOLATILITY_10D,VOLATILITY_20D,VOLATILITY_30D,VOLATILITY_60D,VOLATILITY_90D,VOLATILITY_180D,3MO_CALL_IMP_VOL,3MO_PUT_IMP_VOL,OPEN_INT_TOTAL_CALL,OPEN_INT_TOTAL_PUT,FUND_FLOW,IVOL_DELTA,EQY_DVD_YLD_12M,EQY_DVD_YLD_12M_NET,EQY_DVD_YLD_IND,EQY_DVD_YLD_IND_NET,EMA_12D,EMA_26D,MACD,MACD_SIGNAL,BB_MID,BB_LOW,BB_HIGH,GAP,RETURN,UPTREND
4/29/2024,200.69,200.86,199.515,200.685,201.16,199.83,0.86,0.4304,3.3153,3747423,2681081,751335600,198.656,197.725,201.7975,205.008,200.0176,186.1044,39.8765,45.107,20.064,20.076,17.12,18.59,18.607,17.782,18.975,18.975,152393,211696,-30.1026,18.418,0.739,0.739,0.6761,0.6761,199.5849809,201.8249439,-2.239963026,-2.160508561,201.7975,192.4052439,211.1897561,1.03,0.004303658,1
4/30/2024,196.27,200,196.21,196.215,200.81,200.69,-4.42,-2.2024,-0.4363,7464527,5770546,1480901000,198.484,197.176,201.269,204.882,200.1361,186.2058,37.6896,40.7524,22.136,21.389,18.149,19.153,18.82,17.911,19.916,19.916,154038,213335,98.1421,19.947,0.7556,0.7556,0.6913,0.6913,199.0749838,201.4134666,-2.338482759,-2.1961034,201.269,191.8816406,210.6563594,-0.69,-0.022024017,0
5/1/2024,194.26,195.22,194.22,194.255,198.5,196.27,-2.01,-1.0241,-1.9038,10226794,7572254,2002312000,197.73,196.717,200.6125,204.757,200.2501,186.2859,27.4224,38.1185,21.97,20.99,17.853,19.244,18.814,17.915,20.245,20.245,158039,216456,-106.8655,26.573,0.7635,0.7635,0.6984,0.6984,198.3342171,200.8835802,-2.549363088,-2.266755338,200.6125,191.1928166,210.0321834,-1.05,-0.010240995,0
5/2/2024,197.06,196.74,194.26,197.04,197.33,194.26,2.8,1.4414,-0.2733,6669995,5179641,1308908000,197.622,196.765,200.26,204.7132,200.3699,186.3699,36.7805,38.6523,19.848,21.296,18.541,19.283,18.968,17.943,20.584,20.584,162927,218082,-187.1765,19.9522,0.7526,0.7526,0.6885,0.6885,198.1381837,200.600352,-2.462168325,-2.305837935,200.26,190.8626089,209.6573911,2.48,0.014413672,1
5/3/2024,202.55,202.39,201.67,202.525,203.23,197.06,5.49,2.786,1.3612,6658247,5035362,1347873000,198.166,197.767,200.065,204.6488,200.5288,186.4836,51.5507,44.0236,23.874,24.009,20.553,20.154,19.52,18.18,18.826,18.826,161656,222846,30.3756,18.762,0.7322,0.7322,0.6699,0.6699,198.8169247,200.7447704,-1.927845724,-2.230239493,200.065,191.0348029,209.0951971,5.33,0.027859535,1
5/6/2024,204.93,203.32,203.01,204.925,204.93,202.55,2.38,1.175,2.1127,4010467,2891308,818376800,199.014,198.835,200.001,204.6416,200.6952,186.6272,54.4837,46.0664,23.511,24.371,20.835,20.106,19.612,18.225,18.113,18.113,161536,222305,-40.9839,16.4942,0.7237,0.7237,0.6621,0.6621,199.7573978,201.0547874,-1.297389603,-2.043669515,200.001,191.1291616,208.8728384,0.77,0.011750185,1
5/7/2024,204.26,205.53,204.24,204.255,205.63,204.93,-0.67,-0.3269,4.0709,5010510,3656456,1026909000,200.612,199.548,199.8515,204.617,200.8424,186.7678,58.1697,46.5964,23.859,23.968,20.823,20.055,19.623,18.106,18.524,18.524,162629,226298,-30.6457,16.1882,0.7261,0.7261,0.6642,0.6642,200.4501058,201.2922105,-0.842104727,-1.803356557,199.8515,191.3816517,208.3213483,0.6,-0.003269409,0
5/8/2024,204.84,203.53,203.48,204.835,205.06,204.26,0.58,0.284,5.4463,3587971,2686370,733697600,202.728,200.229,199.858,204.6004,200.9787,186.9098,63.1445,47.7368,23.626,22.723,20.777,19.734,19.616,18.105,19.047,19.047,163587,228099,-153.6634,15.0039,0.724,0.724,0.6624,0.6624,201.1254742,201.5550098,-0.429535611,-1.528592368,199.858,191.3730613,208.3429387,-0.73,0.002839518,1
5/9/2024,204.78,204.51,203.76,204.765,204.94,204.84,-0.06,-0.0293,3.9176,4794843,3706090,980634300,204.272,200.947,199.657,204.602,201.1191,187.0414,72.3296,46.7863,23.29,21.923,20.772,19.612,19.044,17.991,17.477,17.477,164421,230318,317.3438,16.1438,0.7242,0.7242,0.6626,0.6626,201.6877089,201.7938979,-0.106189031,-1.244111701,199.657,191.8668829,207.4471171,-0.33,-0.000292912,0
5/10/2024,205.54,205.85,204.89,205.53,206.77,204.78,0.76,0.3711,1.4762,4377007,3268389,899521200,204.87,201.518,199.663,204.5732,201.2575,187.1888,71.326,47.7845,23.279,20.655,20.788,19.623,18.95,17.75,17.502,17.502,164044,231864,-678.4404,16.1031,0.7216,0.7216,0.6601,0.6601,202.2803691,202.071387,0.208982096,-0.953492941,199.663,191.8549731,207.4710269,1.07,0.0037113,1
5/13/2024,206.51,207.05,205.86,206.515,207.22,205.54,0.97,0.4719,0.771,3290994,2456577,679917100,205.186,202.1,199.9125,204.4882,201.4041,187.3436,69.0961,48.1129,17.752,20.699,20.647,19.544,18.902,17.722,16.609,16.609,162365,232649,30.973,16.7313,0.7182,0.7182,0.657,0.657,202.9310815,202.4001731,0.530908396,-0.656612674,199.9125,191.5816612,208.2433388,1.51,0.004719276,1
5/14/2024,208.34,206.44,206.32,208.34,208.625,206.51,1.83,0.8862,1.9975,4912582,3790523,1020221000,206.002,203.307,200.2415,204.4398,201.5617,187.4956,70.2236,51.2132,14.919,19.92,20.805,19.492,18.944,17.727,16.736,16.736,160326,234334,-72.9385,17.8085,0.7119,0.7119,0.6512,0.6512,203.7632228,202.8401603,0.923062525,-0.340677634,200.2415,191.1589997,209.3240003,-0.07,0.008861556,1
5/15/2024,213.03,209.65,209.5,213.025,213.0981,208.34,4.69,2.2511,3.9982,7154320,5682755,1517053000,207.64,205.184,200.9505,204.5888,201.7953,187.669,75.9328,54.2753,16.572,20.415,21.2,19.952,18.857,17.766,16.585,16.585,159756,236718,-127.7986,13.6044,0.6962,0.6962,0.6369,0.6369,205.1888809,203.5949632,1.593917611,0.046241415,200.9505,190.3296253,211.5713747,1.31,0.02251128,1
5/16/2024,212.29,213.155,212.2,212.265,213.815,213.03,-0.74,-0.3474,3.6674,6033253,4523841,1285413000,209.142,206.707,201.736,204.6904,202.0002,187.8372,72.0453,56.4491,13.145,18.234,21.021,18.836,18.875,17.758,17.109,17.109,160752,239792,148.5932,14.1477,0.6986,0.6986,0.6391,0.6391,206.2813607,204.23904,2.042320683,0.445457269,201.736,190.2368028,213.2351972,0.125,-0.003473689,0
5/17/2024,211.82,212.78,210.66,211.83,212.91,212.29,-0.47,-0.2214,3.0554,3808017,2959344,806888400,210.398,207.634,202.7005,204.7172,202.1979,188.0252,69.9677,54.3623,13.046,18.366,21.033,18.835,18.843,17.756,16.763,16.763,147952,239836,63.5336,14.0964,0.7002,0.7002,0.6405,0.6405,207.1334591,204.8005926,2.332866444,0.822939104,202.7005,191.2158224,214.1851776,0.49,-0.002213953,0
5/20/2024,214.31,212.03,211.84,214.31,214.71,211.82,2.49,1.1755,3.7771,3138634,2393212,671392400,211.958,208.572,203.7035,204.8564,202.4125,188.2291,84.7726,56.348,12.934,18.157,21.247,18.98,18.917,17.801,15.24,15.24,142612,216911,32.137,15.7285,0.692,0.692,0.6331,0.6331,208.2375423,205.5049932,2.732549117,1.204861106,203.7035,191.8482189,215.5587811,0.21,0.011755264,1
5/21/2024,214.66,213.49,213.11,214.67,215.01,214.31,0.35,0.1633,3.0335,3070241,2379272,658393500,213.222,209.612,204.58,205.014,202.6307,188.4466,92.0099,55.8707,13.025,18.186,20.832,18.981,18.914,17.799,16.654,16.654,143339,220067,21.4644,15.255,0.6909,0.6909,0.6321,0.6321,209.2256127,206.1831418,3.04247088,1.572383061,204.58,192.2170926,216.9429074,-0.82,0.001633148,0
5/22/2024,215.14,215.27,213.87,215.165,215.925,214.66,0.48,0.2236,0.9905,5891457,4896533,1266631000,213.644,210.642,205.4355,205.0964,202.8514,188.6641,91.1658,58.5422,12.747,18.033,20.061,18.948,18.914,17.742,17.1,17.1,145072,222996,-96.8036,16.5753,0.6894,0.6894,0.6307,0.6307,210.1355184,206.8466128,3.288905642,1.915687577,205.4355,192.6434642,218.2275358,0.61,0.002236094,1
5/23/2024,213.39,217.6,212.71,213.465,217.62,215.14,-1.75,-0.8134,0.5182,4700216,3461036,1009118000,213.864,211.503,206.225,205.1894,203.0605,188.8795,79.7475,53.909,14.728,18.408,19.548,18.913,18.953,17.676,17.665,17.665,146811,225897,64.0253,16.244,0.695,0.695,0.6358,0.6358,210.6362079,207.3313082,3.304899764,2.193530014,206.225,193.5159977,218.9340023,2.46,-0.008134238,0
5/24/2024,215.19,213.93,213.22,215.175,215.65,213.39,1.8,0.8435,1.591,2953206,2224266,634343200,214.538,212.468,206.993,205.3176,203.338,189.1148,79.0816,58.5507,14.905,18.498,18.585,18.616,18.713,17.697,16.76,16.76,149541,230626,150.6191,15.7927,0.6892,0.6892,0.6305,0.6305,211.3367913,207.9134335,3.423357839,2.439495579,206.993,194.0680441,219.9179559,0.54,0.008435259,1
5/28/2024,216.1,216.41,214.745,216.125,216.58,215.19,0.91,0.4229,0.8352,4393214,3118496,948048100,214.896,213.427,207.7635,205.527,203.6437,189.3546,83.1096,63.4651,14.683,15.481,18.591,18.633,18.341,17.695,18.463,18.463,163197,237726,-118.8275,16.1542,0.6863,0.6863,0.6279,0.6279,212.0695926,208.5198458,3.54974684,2.661545832,207.7635,194.5983289,220.9286711,1.22,0.004228821,1
5/29/2024,214.73,213.82,213.82,214.76,215.76,216.1,-1.37,-0.634,0.0326,4284538,3295900,921067700,214.91,214.066,208.6865,205.6956,203.9493,189.5938,76.4863,61.7333,10.662,14.977,18.054,17.896,18.372,17.56,17.809,17.809,166493,239916,75.1212,15.0341,0.6907,0.6907,0.6319,0.6319,212.4788861,208.9798572,3.499028857,2.829042437,208.6865,196.3090879,221.0639121,-2.28,-0.006339658,0
5/30/2024,209.83,212.34,209.18,209.735,212.66,214.73,-4.9,-2.2819,-2.4682,5229852,3801174,1103181000,213.848,213.746,209.465,205.7448,204.2064,189.7952,60.7401,59.5878,16.742,17.834,19.196,18.512,18.808,17.803,20.103,20.103,169559,242761,167.8064,16.7051,0.7068,0.7068,0.6466,0.6466,212.0713652,209.0428308,3.028534382,2.868940826,209.465,199.0049417,219.9250583,-2.39,-0.022819355,0
5/31/2024,210.16,210.45,205.53,210.285,210.49,209.83,0.33,0.1573,-1.5137,6040506,4594246,1256774000,213.202,213.533,210.12,205.7542,204.4206,190.0065,60.0087,62.274,16.798,15.132,17.819,18.219,18.777,17.788,19.118,19.118,170758,247758,42.0256,16.8333,0.7057,0.7057,0.6456,0.6456,211.777309,209.125584,2.651724929,2.825497646,210.12,201.3440943,218.8959057,0.62,0.001572702,0
6/3/2024,210.69,211.77,208.17,210.705,211.96,210.16,0.53,0.2522,-2.0912,4814031,3498984,1012608000,212.302,213.42,210.527,205.7712,204.6371,190.2285,59.2314,67.529,15.218,14.652,17.726,17.943,18.769,17.614,18.807,18.807,168550,241721,-52.6614,17.6074,0.7039,0.7039,0.644,0.644,211.6100307,209.2414667,2.368563962,2.734110909,210.527,202.4673521,218.5866479,1.61,0.002521888,1
6/4/2024,211.13,210.58,209.5,211.075,211.465,210.69,0.44,0.2088,-2.2999,3202665,2419018,673963600,211.308,213.102,210.837,205.7956,204.8419,190.4606,56.5647,66.7063,15.254,14.535,17.336,17.936,18.657,17.614,20.242,20.242,169260,242024,52.7718,17.6359,0.7024,0.7024,0.6426,0.6426,211.5361798,209.3813581,2.154821734,2.618253074,210.837,203.1962563,218.4777437,-0.11,0.002088376,1
