Date,RSI_14D,MACD_SIGNAL,GAP,UPTREND
4/6/2021,58.684,0.155486269,-0.22,0
4/7/2021,60.2787,0.384523335,-0.11,1
4/8/2021,74.5412,0.643961957,1.3,1
4/9/2021,77.3976,0.928926227,-0.51,1
4/12/2021,72.3569,1.201984967,-0.58,0
4/13/2021,76.9049,1.471747166,0.54,1
4/14/2021,77.1971,1.697856201,-0.02,0
4/15/2021,79.8204,1.919491197,1.29,1
4/16/2021,76.4034,2.121849938,0.11,0
4/19/2021,74.5516,2.277696837,-0.64,0
4/20/2021,74.5155,2.370927366,-0.3,0
4/21/2021,73.6737,2.437275317,-0.25,1
4/22/2021,63.4879,2.451096801,-0.25,0
4/23/2021,62.0897,2.459188896,0.26,1
4/26/2021,65.5809,2.469307455,0.05,1
4/27/2021,62.9157,2.468953635,0.23,0
4/28/2021,53.8284,2.435207859,-0.835,0
4/29/2021,49.5663,2.374836801,1.16,0
4/30/2021,46.0035,2.264737526,-1.44,0
5/3/2021,40.5471,2.117857137,0.75,0
5/4/2021,38.2454,1.910909706,-1.04,0
5/5/2021,27.6873,1.667541636,1.12,0
5/6/2021,33.6729,1.432160457,-0.06,1
5/7/2021,40.7674,1.229686405,1.38,1
5/10/2021,35.9218,0.999649221,-0.67,0
5/11/2021,30.0223,0.755575218,-2.59,0
5/12/2021,26.8329,0.45314908,-1.99,0
5/13/2021,25.4952,0.156730499,1.44,1
5/14/2021,32.9831,-0.073994692,1.49,1
5/17/2021,32.0319,-0.26723531,-0.8,0
5/18/2021,32.3912,-0.443473018,0.39,0
5/19/2021,33.9664,-0.591305619,-2.08,1
5/20/2021,44.0722,-0.671234265,0.54,1
5/21/2021,43.401,-0.714847971,0.7,0
5/24/2021,53.82,-0.693174902,1.13,1
5/25/2021,54.6627,-0.629499424,0.56,0
5/26/2021,51.8028,-0.54156041,0.2,0
5/27/2021,47.3905,-0.45343579,-0.12,0
5/28/2021,57.8091,-0.360963336,0.7,1
6/1/2021,56.9749,-0.280639599,0.62,0
6/2/2021,73.203,-0.196344815,0.28,1
6/3/2021,64.0493,-0.134113614,-1.12,0
6/4/2021,63.3598,-0.046548373,0.84,1
6/7/2021,67.7032,0.0519329,-0.12,0
6/8/2021,73.318,0.152134759,0.67,0
6/9/2021,72.5413,0.249410995,0.68,0
6/10/2021,68.7556,0.355618718,0.29,1
6/11/2021,75.6661,0.474448121,0.18,1
6/14/2021,73.3463,0.616852311,0.14,1
6/15/2021,67.446,0.75112184,-0.11,0
6/16/2021,63.1313,0.859257233,0.27,0
6/17/2021,71.4621,0.969550439,-0.41,1
6/18/2021,63.5562,1.052304284,-0.69,0
6/21/2021,69.8379,1.131163046,-0.2,1
6/22/2021,70.564,1.221609131,-0.09,1
6/23/2021,76.5101,1.30923959,0.02,0
6/24/2021,73.0308,1.402046034,0.93,1
6/25/2021,72.1658,1.487323821,0.13,0
6/28/2021,75.3188,1.584273188,0.6,1
6/29/2021,76.993,1.696916176,0.08,1
6/30/2021,74.3112,1.807070368,-0.23,0
7/1/2021,73.1308,1.909760092,-0.2,0
7/2/2021,74.1573,2.029146448,0.71,1
7/6/2021,80.2914,2.157208681,0.32,1
7/7/2021,86.249,2.292161458,0.96,1
7/8/2021,74.9224,2.396319533,-2.38,0
7/9/2021,85.1737,2.492271344,-0.18,1
7/12/2021,83.7426,2.574283814,0.6,0
7/13/2021,82.7493,2.647284571,-0.26,1
7/14/2021,85.4425,2.722645389,1.22,1
7/15/2021,75.7235,2.769226885,-0.18,0
7/16/2021,68.4096,2.765084929,0.3,0
7/19/2021,55.1676,2.690039795,-1.79,0
7/20/2021,58.4466,2.603456482,0.74,1
7/21/2021,62.6045,2.531380203,-0.06,1
7/22/2021,64.452,2.484274427,0.32,1
7/23/2021,63.5623,2.473877589,0.68,1
7/26/2021,62.0132,2.480119402,-0.39,0
7/27/2021,54.9913,2.467516651,-0.19,0
7/28/2021,59.2293,2.435107841,0.05,0
7/29/2021,57.4578,2.397761432,-0.16,1
7/30/2021,56.7532,2.352217568,-0.98,0
8/2/2021,52.968,2.289787074,0.69,0
8/3/2021,52.5346,2.230461516,0.28,1
8/4/2021,58.2163,2.176054212,-0.12,1
8/5/2021,67.2553,2.136183281,0.28,1
8/6/2021,78.4549,2.100570699,-0.54,0
8/9/2021,69.7487,2.056729205,0.18,0
8/10/2021,57.128,1.987631128,0.28,0
8/11/2021,51.5864,1.902113824,0.53,0
8/12/2021,47.6493,1.82049281,-0.16,1
8/13/2021,53.1866,1.754845061,0.1,1
8/16/2021,67.2173,1.709818852,-0.37,1
8/17/2021,58.9744,1.655599954,-0.95,0
8/18/2021,44.0808,1.560705148,-0.36,0
8/19/2021,51.528,1.465504931,-0.84,1
8/20/2021,60.9387,1.403353401,0.58,1
8/23/2021,63.764,1.394044084,0.41,1
8/24/2021,62.1545,1.412294149,0.2,0
8/25/2021,59.3258,1.442206401,0.37,0
8/26/2021,55.7354,1.458778284,-0.19,0
8/27/2021,61.958,1.486886273,0.14,1
8/30/2021,70.3985,1.544484997,0.47,1
8/31/2021,66.807,1.600626617,0.1,0
9/1/2021,65.0412,1.649901942,0.55,0
9/2/2021,62.3677,1.685817801,0.59,0
9/3/2021,62.1927,1.7176864,-0.19,1
9/7/2021,68.1159,1.74207087,0.19,0
9/8/2021,76.5472,1.746783435,-0.02,0
9/9/2021,69.4469,1.725365068,0.11,0
9/10/2021,54.0565,1.659869779,0.88,0
9/13/2021,44.0622,1.567195844,1.19,0
9/14/2021,43.9646,1.455582141,0.67,0
9/15/2021,51.7944,1.356488316,0.53,1
9/16/2021,57.7046,1.268780557,-0.56,0
9/17/2021,37.8378,1.150667478,-0.41,0
9/20/2021,18.8776,0.967607323,-2.55,0
9/21/2021,20.765,0.752187808,0.93,0
9/22/2021,33.231,0.559409059,0.83,1
9/23/2021,42.8667,0.422677521,0.8,1
9/24/2021,40.805,0.329034599,-0.95,0
9/27/2021,36.7527,0.242307055,-1.32,0
9/28/2021,29.3763,0.090517757,-1.99,0
9/29/2021,29.9949,-0.097331589,0.62,0
9/30/2021,30.753,-0.314944233,0.88,0
10/1/2021,37.9424,-0.503189063,0.54,1
10/4/2021,32.8163,-0.718011742,-0.87,0
10/5/2021,34.7861,-0.90293123,0.3,1
10/6/2021,37.0073,-1.041720902,-1.73,1
10/7/2021,44.1118,-1.119930327,1.31,1
10/8/2021,49.0675,-1.162610831,0.59,0
10/11/2021,47.1674,-1.191536995,-0.68,0
10/12/2021,40.4729,-1.22005454,0.59,0
10/13/2021,37.1881,-1.22936222,0.65,1
10/14/2021,45.7746,-1.16893508,1.54,1
10/15/2021,51.5088,-1.045519482,0.54,1
10/18/2021,66.1322,-0.865650809,-0.87,1
10/19/2021,69.1116,-0.632965572,0.42,1
10/20/2021,71.1872,-0.384950969,0.15,0
10/21/2021,68.785,-0.129719975,-0.48,1
10/22/2021,80.9695,0.108175211,-0.06,0
10/25/2021,78.9683,0.330783533,0.6,1
10/26/2021,78.2042,0.538566414,1.07,1
10/27/2021,75.1311,0.722703552,0.27,0
10/28/2021,80.8762,0.906247103,0.97,1
10/29/2021,86.5777,1.088739975,-1.58,1
11/1/2021,89.9927,1.254697205,0,0
11/2/2021,90.3453,1.421386025,0.22,1
11/3/2021,88.3205,1.591712357,0.28,1
11/4/2021,89.5019,1.792605293,0.62,1
11/5/2021,89.1183,2.011760733,1.22,1
11/8/2021,88.5163,2.240648031,0.54,1
11/9/2021,86.6995,2.447520981,0.25,0
11/10/2021,69.4348,2.58013856,-1.29,0
11/11/2021,73.677,2.66566652,1.18,1
11/12/2021,76.1222,2.743188885,0.55,1
11/15/2021,74.6193,2.802665115,0.67,0
11/16/2021,77.7906,2.869404466,-0.2,1
11/17/2021,73.1737,2.922520908,-0.33,0
11/18/2021,74.7106,2.984456726,0.97,1
11/19/2021,77.407,3.061654875,0.61,1
11/22/2021,67.821,3.106921237,0.67,0
11/23/2021,64.6897,3.116496913,-0.65,0
11/24/2021,61.9076,3.11572119,-1.01,1
11/26/2021,47.3113,3.033590448,-2.43,0
11/29/2021,54.5918,2.964070046,2.47,1
11/30/2021,52.9485,2.876686949,-0.64,0
12/1/2021,53.9496,2.739277376,1.78,0
12/2/2021,55.3746,2.595882301,-1.54,1
12/3/2021,45.7019,2.405504188,0.48,0
12/6/2021,49.1779,2.215223754,0.48,1
12/7/2021,55.8728,2.122785117,3.32,1
12/8/2021,57.91,2.104283339,0.06,1
12/9/2021,52.1892,2.098462802,-0.43,0
12/10/2021,55.3299,2.150996112,1.8,1
12/13/2021,54.213,2.190966564,0.36,0
12/14/2021,50.6008,2.170822889,-2.08,0
12/15/2021,54.6389,2.180744392,0.14,1
12/16/2021,53.7229,2.125364436,0.65,0
12/17/2021,46.9899,2.009085274,-1.86,0
12/20/2021,45.9016,1.819297404,-2.88,0
12/21/2021,54.1553,1.656087148,1.77,1
12/22/2021,54.9268,1.549735223,-0.23,1
12/23/2021,59.9745,1.496380222,0.23,1
12/27/2021,62.0489,1.534819953,0.69,1
12/28/2021,54.4106,1.610603541,0.33,0
12/29/2021,53.5944,1.704543107,0.06,0
12/30/2021,54.6804,1.782545899,0.07,0
12/31/2021,48.4438,1.828846758,-0.17,0
1/3/2022,55.1429,1.875006767,0.23,1
1/4/2022,56.8949,1.884709976,0.3,0
1/5/2022,41.0453,1.781561896,-1.01,0
1/6/2022,47.1795,1.595466212,-1.34,0
1/7/2022,46.4814,1.33892983,-0.11,0
